Time (s),Channel 1 (V),Channel 2 (V)
-0.012691388,0.999522439,0.002004069
-0.012685138,0.999522439,0.002004069
-0.012678888,0.999853577,0.002004069
-0.012672638,0.999522439,0.001670189
-0.012666388,1.000184715,0.002004069
-0.012660138,0.999191301,0.001670189
-0.012653888,0.999522439,0.001670189
-0.012647638,0.999853577,0.002004069
-0.012641388,0.999853577,0.002004069
-0.012635138,0.999522439,0.002004069
-0.012628888,0.999522439,0.002004069
-0.012622638,0.999522439,0.002004069
-0.012616388,0.999853577,0.002337948
-0.012610138,0.999191301,0.001670189
-0.012603888,0.999853577,0.001670189
-0.012597638,0.999522439,0.002004069
-0.012591388,0.999522439,0.002004069
-0.012585138,0.999853577,0.002004069
-0.012578888,0.999522439,0.002004069
-0.012572638,0.999522439,0.002337948
-0.012566388,0.999522439,0.002337948
-0.012560138,0.999853577,0.002337948
-0.012553888,0.999853577,0.002337948
-0.012547638,1.000184715,0.002337948
-0.012541388,0.999522439,0.002671827
-0.012535138,0.999522439,0.002671827
-0.012528888,0.999522439,0.002671827
-0.012522638,0.999522439,0.002671827
-0.012516388,0.999853577,0.003005707
-0.012510138,0.999853577,0.002671827
-0.012503888,0.999853577,0.003005707
-0.012497638,0.999853577,0.002671827
-0.012491388,0.999853577,0.003005707
-0.012485138,0.999853577,0.003339586
-0.012478888,1.000184715,0.003339586
-0.012472638,0.999853577,0.003339586
-0.012466388,0.999522439,0.003339586
-0.012460138,1.000184715,0.003339586
-0.012453888,0.999853577,0.003339586
-0.012447638,0.999522439,0.003339586
-0.012441388,1.000184715,0.003339586
-0.012435138,0.999853577,0.003005707
-0.012428888,0.999853577,0.003339586
-0.012422638,0.999522439,0.003339586
-0.012416388,0.999853577,0.003339586
-0.012410138,0.999853577,0.003005707
-0.012403888,0.999522439,0.003339586
-0.012397638,0.999191301,0.003005707
-0.012391388,0.999853577,0.003005707
-0.012385138,0.999522439,0.003339586
-0.012378888,0.999191301,0.003005707
-0.012372638,0.999522439,0.003005707
-0.012366388,1.000184715,0.003005707
-0.012360138,0.999522439,0.003005707
-0.012353888,0.999522439,0.002671827
-0.012347638,0.999522439,0.002671827
-0.012341388,0.999191301,0.003005707
-0.012335138,0.999522439,0.002671827
-0.012328888,0.999191301,0.002671827
-0.012322638,0.999522439,0.002337948
-0.012316388,0.999522439,0.003005707
-0.012310138,0.999191301,0.002337948
-0.012303888,0.999522439,0.002337948
-0.012297638,0.999853577,0.002337948
-0.012291388,0.999191301,0.002337948
-0.012285138,0.999191301,0.002337948
-0.012278888,0.999522439,0.002671827
-0.012272638,0.999522439,0.002337948
-0.012266388,0.999522439,0.002337948
-0.012260138,0.999853577,0.002337948
-0.012253888,0.999522439,0.002337948
-0.012247638,0.999853577,0.002337948
-0.012241388,0.999522439,0.002671827
-0.012235138,0.999853577,0.002337948
-0.012228888,1.000184715,0.002337948
-0.012222638,0.999522439,0.002671827
-0.012216388,0.999522439,0.002671827
-0.012210138,0.999853577,0.002337948
-0.012203888,0.999853577,0.002671827
-0.012197638,0.999522439,0.002671827
-0.012191388,0.999191301,0.002671827
-0.012185138,0.999853577,0.002671827
-0.012178888,0.999522439,0.002671827
-0.012172638,0.999522439,0.003005707
-0.012166388,0.999853577,0.002671827
-0.012160138,0.999853577,0.003005707
-0.012153888,1.000184715,0.002671827
-0.012147638,0.999522439,0.002671827
-0.012141388,0.999853577,0.002671827
-0.012135138,0.999522439,0.003005707
-0.012128888,0.999853577,0.002671827
-0.012122638,0.999853577,0.003005707
-0.012116388,0.999853577,0.002337948
-0.012110138,0.999522439,0.002671827
-0.012103888,1.000184715,0.003005707
-0.012097638,0.999522439,0.002671827
-0.012091388,0.999853577,0.002671827
-0.012085138,0.999853577,0.002671827
-0.012078888,0.999522439,0.002337948
-0.012072638,0.999853577,0.002671827
-0.012066388,0.999522439,0.003005707
-0.012060138,0.999853577,0.002337948
-0.012053888,0.999522439,0.002671827
-0.012047638,0.999853577,0.002671827
-0.012041388,1.000184715,0.002337948
-0.012035138,0.999522439,0.002671827
-0.012028888,0.999191301,0.002671827
-0.012022638,0.999522439,0.002671827
-0.012016388,0.999522439,0.002671827
-0.012010138,0.999191301,0.002337948
-0.012003888,0.999853577,0.002671827
-0.011997638,0.999522439,0.003005707
-0.011991388,0.999522439,0.002671827
-0.011985138,0.999191301,0.002337948
-0.011978888,0.999522439,0.003339586
-0.011972638,0.999853577,0.003005707
-0.011966388,0.999522439,0.002671827
-0.011960138,0.999522439,0.003005707
-0.011953888,0.999522439,0.002671827
-0.011947638,0.999522439,0.003005707
-0.011941388,0.999853577,0.003005707
-0.011935138,0.999522439,0.003005707
-0.011928888,0.999853577,0.003005707
-0.011922638,0.999522439,0.003339586
-0.011916388,0.999191301,0.003005707
-0.011910138,0.999853577,0.003005707
-0.011903888,0.999853577,0.003339586
-0.011897638,0.999853577,0.003005707
-0.011891388,0.999522439,0.003339586
-0.011885138,0.999522439,0.003339586
-0.011878888,1.000184715,0.003005707
-0.011872638,0.999853577,0.003339586
-0.011866388,0.999522439,0.003005707
-0.011860138,0.999853577,0.002671827
-0.011853888,0.999853577,0.003005707
-0.011847638,0.999522439,0.003005707
-0.011841388,0.999853577,0.003005707
-0.011835138,1.000184715,0.003339586
-0.011828888,0.999522439,0.003005707
-0.011822638,0.999522439,0.002671827
-0.011816388,0.999853577,0.003005707
-0.011810138,0.999522439,0.003005707
-0.011803888,0.999522439,0.003339586
-0.011797638,0.999522439,0.003339586
-0.011791388,0.999853577,0.003005707
-0.011785138,0.999522439,0.003005707
-0.011778888,0.999522439,0.003005707
-0.011772638,0.999522439,0.003005707
-0.011766388,0.999522439,0.003005707
