Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2831.391996,-0.086458041,-54.81159446
2851.018268,-0.09314844,-56.7113153
2870.780582,-0.099226231,-58.63054947
2890.679882,-0.097037712,-60.49895513
2910.717118,-0.102358121,-62.34420032
2930.893245,-0.108436735,-64.23273659
2951.209227,-0.115869607,-65.98993778
2971.666032,-0.120880094,-67.8818682
2992.264637,-0.125262312,-69.65611972
3013.006024,-0.1288909,-71.46896232
3033.891184,-0.141960028,-73.23321628
3054.921113,-0.144006135,-74.95407147
3076.096815,-0.151846011,-76.69992247
3097.419299,-0.16750213,-78.44459646
3118.889584,-0.174627237,-80.17062533
3140.508694,-0.175347508,-81.88119173
3162.27766,-0.194113658,-83.59078394
3184.197522,-0.196233978,-85.26127463
3206.269325,-0.211289879,-86.93402809
3228.494122,-0.217131026,-88.63104319
3250.872974,-0.227561817,-90.20664784
3273.406949,-0.236168802,-91.82473926
3296.097122,-0.237269591,-93.46046428
3318.944576,-0.248910135,-95.06717499
3341.9504,-0.258752644,-96.65175864
3365.115694,-0.266269441,-98.2260553
3388.441561,-0.276733788,-99.8389605
3411.929116,-0.280867692,-101.3657908
3435.579479,-0.296383726,-102.9360703
3459.393778,-0.294363245,-104.4757101
3483.37315,-0.301906256,-106.023919
3507.51874,-0.310309487,-107.5491009
3531.831698,-0.313831194,-109.0717868
3556.313186,-0.319779588,-110.5895946
3580.964371,-0.326803877,-112.1002507
3605.78643,-0.33304325,-113.5823764
3630.780548,-0.335377256,-115.0914513
3655.947916,-0.342798176,-116.5390042
3681.289736,-0.345595926,-118.0430896
3706.807218,-0.353958812,-119.4884183
3732.501578,-0.355959246,-120.9838107
3758.374043,-0.359508585,-122.4596456
3784.425847,-0.363596443,-123.8896456
3810.658234,-0.365809404,-125.3339053
3837.072455,-0.366707625,-126.7823318
3863.669771,-0.372372165,-128.2303148
3890.45145,-0.370095762,-129.6914226
3917.418771,-0.378654516,-131.1271871
3944.573021,-0.376396335,-132.5393596
3971.915495,-0.376503413,-133.9952951
3999.447498,-0.376254927,-135.4119888
4027.170343,-0.379423306,-136.8328174
4055.085354,-0.379158753,-138.2527511
4083.193863,-0.38172616,-139.6928817
4111.497211,-0.38609421,-141.10919
4139.996748,-0.382239166,-142.5207161
4168.693835,-0.386631061,-143.9183186
4197.58984,-0.387113788,-145.3524419
4226.686143,-0.384752033,-146.7435071
4255.984131,-0.386627329,-148.1684494
4285.485204,-0.385218131,-149.5796367
4315.190768,-0.388036903,-151.0077533
4345.102242,-0.387021242,-152.4122984
4375.221052,-0.388723535,-153.8147303
4405.548635,-0.388909224,-155.2300814
4436.086439,-0.390757542,-156.6396045
4466.835922,-0.391335343,-158.0142917
4497.798549,-0.39218519,-159.4298282
4528.975799,-0.393303536,-160.8264709
4560.36916,-0.394744843,-162.2276219
4591.980128,-0.39553802,-163.6191857
4623.810214,-0.396719246,-165.0406498
4655.860935,-0.399664844,-166.4423497
4688.133821,-0.402511338,-167.8406152
4720.630413,-0.403858079,-169.252642
4753.352259,-0.407821615,-170.6582942
4786.300923,-0.408215789,-172.0481077
4819.477976,-0.412236233,-173.4444817
4852.885002,-0.416524163,-174.8370744
4886.523593,-0.419371028,-176.244143
4920.395357,-0.424206732,-177.6347347
4954.501908,-0.429225488,-179.0448041
4988.844875,-0.430516978,179.5606161
5023.425895,-0.43494943,178.1759988
5058.24662,-0.443304119,176.7774993
5093.308711,-0.446575013,175.3768322
5128.61384,-0.452429176,173.9937359
5164.163693,-0.459440809,172.6072253
5199.959965,-0.462846423,171.1895906
5236.004366,-0.469549544,169.819362
5272.298614,-0.476026937,168.4124593
5308.844442,-0.481788144,167.0331436
5345.643594,-0.488122044,165.6250286
5382.697825,-0.49660955,164.2457885
5420.008904,-0.503676432,162.8602861
5457.578611,-0.510401057,161.4703218
5495.408739,-0.518456033,160.0891815
5533.501092,-0.524497439,158.6769375
5571.857489,-0.530676632,157.3101857
5610.47976,-0.539699431,155.9161255
5649.369748,-0.545875743,154.5396106
5688.529308,-0.553719987,153.1430064
5727.96031,-0.562401649,151.7630738
5767.664634,-0.569557399,150.383693
5807.644175,-0.576895419,149.0007272
5847.900841,-0.585956736,147.6020258
5888.436554,-0.59312704,146.224467
5929.253246,-0.59892521,144.8414006
5970.352866,-0.608170137,143.4560983
6011.737375,-0.615862601,142.0804462
6053.408748,-0.621730755,140.6827362
6095.368972,-0.629410207,139.294177
6137.620052,-0.635707944,137.9155827
6180.164001,-0.643421766,136.5194652
6223.002852,-0.648833875,135.1228108
6266.138647,-0.655356073,133.7252558
6309.573445,-0.660273766,132.3477725
6353.309319,-0.665956156,130.9391839
6397.348355,-0.672267205,129.5344796
6441.692655,-0.676239207,128.1359771
6486.344335,-0.679725191,126.7325027
6531.305526,-0.682854387,125.3186775
6576.578374,-0.687957421,123.9113054
6622.165037,-0.691238527,122.5114307
6668.067692,-0.69227873,121.0859349
6714.288529,-0.695265943,119.6553024
6760.829754,-0.69936061,118.2344962
6807.693587,-0.699371108,116.7968226
6854.882265,-0.701498793,115.3669949
6902.398038,-0.701407917,113.9254407
6950.243176,-0.702246308,112.4726285
6998.41996,-0.701845753,111.0205586
7046.93069,-0.699437644,109.5434945
7095.77768,-0.698099733,108.0916653
7144.963261,-0.697921859,106.6111359
7194.48978,-0.695284943,105.1422697
7244.359601,-0.691737769,103.6461959
7294.575103,-0.689068543,102.1433924
7345.138682,-0.686288168,100.639547
7396.052751,-0.68028243,99.1188087
7447.319739,-0.67578219,97.59362653
7498.942093,-0.672812943,96.05498063
7550.922277,-0.668131575,94.51203104
7603.262769,-0.66147901,92.94069073
7655.966069,-0.653769093,91.38240707
7709.034691,-0.646773601,89.79906946
7762.471166,-0.640728394,88.21463743
7816.278046,-0.634361561,86.59678079
7870.457897,-0.628476196,84.98200439
7925.013305,-0.621353638,83.34970586
7979.946873,-0.611748349,81.70255135
8035.261222,-0.604579997,80.04442551
8090.958992,-0.596921028,78.36837208
8147.04284,-0.590027293,76.68525143
8203.515443,-0.580531453,74.97835958
8260.379496,-0.573671301,73.26478878
8317.637711,-0.566194716,71.52802632
8375.292821,-0.557897969,69.7791891
8433.347578,-0.550502756,68.01899992
8491.80475,-0.544891346,66.2317762
8550.667129,-0.537931494,64.4383992
8609.937522,-0.530322793,62.62729027
8669.618758,-0.524240179,60.80378034
8729.713684,-0.518823674,58.94329153
8790.225168,-0.513208729,57.08573003
8851.156098,-0.506435764,55.20659278
8912.509381,-0.504363851,53.3222702
8974.287945,-0.499947332,51.41120663
9036.494737,-0.495752599,49.47361375
9099.132726,-0.493122139,47.52624424
9162.204901,-0.489778891,45.55176524
9225.714272,-0.489596533,43.58648629
9289.663868,-0.486188407,41.5855
9354.056741,-0.486736616,39.57754619
9418.895965,-0.486078282,37.54429267
9484.184633,-0.48623925,35.50331683
9549.92586,-0.487396575,33.43640589
9616.122784,-0.488984938,31.36365132
9682.778563,-0.489529902,29.2580561
9749.896377,-0.492140748,27.14855647
9817.47943,-0.492428342,25.01073239
9885.530947,-0.493573024,22.8681184
9954.054174,-0.493155459,20.69243265
10023.05238,-0.49425714,18.50321689
10092.52886,-0.496017941,16.294808
10162.48693,-0.49569443,14.07352784
10232.92992,-0.493387937,11.81031402
10303.8612,-0.492885587,9.52548993
10375.28416,-0.487137315,7.223327412
10447.20219,-0.4840412,4.893535205
10519.61874,-0.478087548,2.52907591
