Freq.	V(vin_6)
Step Information: Run=1  (Run: 1/20)
3.63078054770098e+004	(-6.18437735440765e+001dB,-7.56978175813532e+001°)
3.71535229097169e+004	(-6.29180923949715e+001dB,-7.66845708168356e+001°)
3.80189396320558e+004	(-6.39881544837739e+001dB,-7.76581973194782e+001°)
3.89045144994277e+004	(-6.50541519083932e+001dB,-7.86196738393376e+001°)
3.98107170553494e+004	(-6.61162638936338e+001dB,-7.95699317585252e+001°)
4.07380277804109e+004	(-6.71746576180148e+001dB,-8.05098611594651e+001°)
4.16869383470332e+004	(-6.82294889660935e+001dB,-8.14403144919699e+001°)
4.26579518801589e+004	(-6.92809032138038e+001dB,-8.23621098861910e+001°)
4.36515832240162e+004	(-7.03290356533733e+001dB,-8.32760341528766e+001°)
4.46683592150959e+004	(-7.13740121636291e+001dB,-8.41828455062406e+001°)
4.57088189614871e+004	(-7.24159497307938e+001dB,-8.50832760407738e+001°)
4.67735141287194e+004	(-7.34549569243434e+001dB,-8.59780339884995e+001°)
4.78630092322634e+004	(-7.44911343319205e+001dB,-8.68678057806198e+001°)
4.89778819368442e+004	(-7.55245749569116e+001dB,-8.77532579342390e+001°)
5.01187233627268e+004	(-7.65553645818427e+001dB,-8.86350387820630e+001°)
5.12861383991360e+004	(-7.75835821004556e+001dB,-8.95137800613220e+001°)
5.24807460249768e+004	(-7.86092998210290e+001dB,-9.03900983759996e+001°)
5.37031796370248e+004	(-7.96325837431587e+001dB,-9.12645965445856e+001°)
5.49540873857620e+004	(-8.06534938101316e+001dB,-9.21378648449593e+001°)
5.62341325190344e+004	(-8.16720841386213e+001dB,-9.30104821655346e+001°)
5.75439937337152e+004	(-8.26884032274588e+001dB,-9.38830170720759e+001°)
5.88843655355584e+004	(-8.37024941469075e+001dB,-9.47560287972814e+001°)
6.02559586074352e+004	(-8.47143947098070e+001dB,-9.56300681608412e+001°)
6.16595001861477e+004	(-8.57241376258088e+001dB,-9.65056784253344e+001°)
6.30957344480187e+004	(-8.67317506398115e+001dB,-9.73833960944554e+001°)
6.45654229034650e+004	(-8.77372566556064e+001dB,-9.82637516571247e+001°)
6.60693448007590e+004	(-8.87406738456172e+001dB,-9.91472702840076e+001°)
6.76082975391975e+004	(-8.97420157476068e+001dB,-1.00034472478283e+002°)
6.91830970918930e+004	(-9.07412913491559e+001dB,-1.00925874685594e+002°)
7.07945784384131e+004	(-9.17385051605107e+001dB,-1.01821989866138e+002°)
7.24435960074983e+004	(-9.27336572765200e+001dB,-1.02723328031575e+002°)
7.41310241300911e+004	(-9.37267434283254e+001dB,-1.03630396749653e+002°)
7.58577575029177e+004	(-9.47177550252626e+001dB,-1.04543701618513e+002°)
7.76247116628685e+004	(-9.57066791875006e+001dB,-1.05463746713454e+002°)
7.94328234724274e+004	(-9.66934987700289e+001dB,-1.06391035007775e+002°)
8.12830516164092e+004	(-9.76781923783531e+001dB,-1.07326068768551e+002°)
8.31763771102663e+004	(-9.86607343763611e+001dB,-1.08269349931399e+002°)
8.51138038202369e+004	(-9.96410948868751e+001dB,-1.09221380452278e+002°)
8.70963589956073e+004	(-1.00619239785206e+002dB,-1.10182662640535e+002°)
8.91250938133737e+004	(-1.01595130686134e+002dB,-1.11153699473057e+002°)
9.12010839355901e+004	(-1.02568724924719e+002dB,-1.12134994891603e+002°)
9.33254300796982e+004	(-1.03539975531570e+002dB,-1.13127054080931e+002°)
9.54992586021427e+004	(-1.04508831202409e+002dB,-1.14130383735401e+002°)
9.77237220955802e+004	(-1.05475236263014e+002dB,-1.15145492307343e+002°)
1.00000000000000e+005	(-1.06439130629398e+002dB,-1.16172890243334e+002°)
Step Information: Run=2  (Run: 2/20)
1.00000000000000e+002	(-1.46255649793627e+002dB,1.15558096468977e+002°)
1.02329299228075e+002	(-1.45286988618308e+002dB,1.14851373997726e+002°)
1.04712854805090e+002	(-1.44316966142485e+002dB,1.14153188301154e+002°)
1.07151930523761e+002	(-1.43345620872841e+002dB,1.13463425178486e+002°)
1.09647819614318e+002	(-1.42372989935290e+002dB,1.12781961414282e+002°)
1.12201845430196e+002	(-1.41399109705515e+002dB,1.12108666760352e+002°)
1.14815362149688e+002	(-1.40424015374254e+002dB,1.11443403107242e+002°)
1.17489755493953e+002	(-1.39447741027568e+002dB,1.10786025191867e+002°)
1.20226443461741e+002	(-1.38470319759295e+002dB,1.10136382212350e+002°)
1.23026877081238e+002	(-1.37491783371658e+002dB,1.09494315995768e+002°)
