f,mag,pha
1.21478662047124e+002,-5.82301556288588e-001,-7.80070158580318e-001
1.21618600064638e+002,-5.82301539948334e-001,-7.80969023385802e-001
1.21758699284527e+002,-5.82301523570393e-001,-7.81868924538760e-001
1.21898959892488e+002,-5.82301507154620e-001,-7.82769863236028e-001
1.22039382074433e+002,-5.82301490700962e-001,-7.83671840675977e-001
1.22179966016489e+002,-5.82301474209331e-001,-7.84574858058278e-001
1.22320711904995e+002,-5.82301457679645e-001,-7.85478916584038e-001
1.22461619926506e+002,-5.82301441111811e-001,-7.86384017455782e-001
1.22602690267794e+002,-5.82301424505748e-001,-7.87290161877400e-001
1.22743923115842e+002,-5.82301407861348e-001,-7.88197351054127e-001
1.22885318657852e+002,-5.82301391178511e-001,-7.89105586192634e-001
1.23026877081240e+002,-5.82301374457158e-001,-7.90014868501084e-001
1.23168598573637e+002,-5.82301357697239e-001,-7.90925199188917e-001
1.23310483322892e+002,-5.82301340898625e-001,-7.91836579467044e-001
1.23452531517070e+002,-5.82301324061226e-001,-7.92749010547754e-001
1.23594743344452e+002,-5.82301307184981e-001,-7.93662493644768e-001
1.23737118993537e+002,-5.82301290269768e-001,-7.94577029973190e-001
1.23879658653038e+002,-5.82301273315533e-001,-7.95492620749542e-001
1.24022362511890e+002,-5.82301256322141e-001,-7.96409267191787e-001
1.24165230759243e+002,-5.82301239289514e-001,-7.97326970519250e-001
1.24308263584464e+002,-5.82301222217613e-001,-7.98245731952720e-001
1.24451461177140e+002,-5.82301205106295e-001,-7.99165552714397e-001
1.24594823727076e+002,-5.82301187955457e-001,-8.00086434027843e-001
1.24738351424296e+002,-5.82301170765044e-001,-8.01008377118126e-001
1.24882044459041e+002,-5.82301153534952e-001,-8.01931383211705e-001
1.25025903021774e+002,-5.82301136265095e-001,-8.02855453536443e-001
1.25169927303174e+002,-5.82301118955363e-001,-8.03780589321622e-001
1.25314117494143e+002,-5.82301101605696e-001,-8.04706791797979e-001
1.25458473785801e+002,-5.82301084215976e-001,-8.05634062197695e-001
1.25602996369489e+002,-5.82301066786103e-001,-8.06562401754319e-001
1.25747685436768e+002,-5.82301049315980e-001,-8.07491811702902e-001
1.25892541179418e+002,-5.82301031805554e-001,-8.08422293279905e-001
1.26037563789444e+002,-5.82301014254683e-001,-8.09353847723223e-001
1.26182753459069e+002,-5.82300996663349e-001,-8.10286476272160e-001
1.26328110380737e+002,-5.82300979031356e-001,-8.11220180167493e-001
1.26473634747117e+002,-5.82300961358700e-001,-8.12154960651467e-001
1.26619326751096e+002,-5.82300943645245e-001,-8.13090818967717e-001
1.26765186585786e+002,-5.82300925890876e-001,-8.14027756361312e-001
1.26911214444521e+002,-5.82300908095581e-001,-8.14965774078858e-001
1.27057410520856e+002,-5.82300890259154e-001,-8.15904873368282e-001
1.27203775008571e+002,-5.82300872381589e-001,-8.16845055479083e-001
1.27350308101668e+002,-5.82300854462719e-001,-8.17786321662102e-001
1.27497009994373e+002,-5.82300836502496e-001,-8.18728673169737e-001
1.27643880881136e+002,-5.82300818500810e-001,-8.19672111255783e-001
1.27790920956630e+002,-5.82300800457607e-001,-8.20616637175479e-001
1.27938130415754e+002,-5.82300782372730e-001,-8.21562252185558e-001
1.28085509453630e+002,-5.82300764246100e-001,-8.22508957544174e-001
1.28233058265604e+002,-5.82300746077612e-001,-8.23456754511018e-001
1.28380777047249e+002,-5.82300727867224e-001,-8.24405644347147e-001
1.28528665994363e+002,-5.82300709614766e-001,-8.25355628315135e-001
1.28676725302969e+002,-5.82300691320204e-001,-8.26306707679056e-001
1.28824955169315e+002,-5.82300672983359e-001,-8.27258883704368e-001
1.28973355789877e+002,-5.82300654604232e-001,-8.28212157658056e-001
1.29121927361355e+002,-5.82300636182650e-001,-8.29166530808585e-001
1.29270670080678e+002,-5.82300617718565e-001,-8.30122004425882e-001
1.29419584145000e+002,-5.82300599211838e-001,-8.31078579781295e-001
1.29568669751704e+002,-5.82300580662383e-001,-8.32036258147755e-001
1.29717927098397e+002,-5.82300562070144e-001,-8.32995040799590e-001
1.29867356382918e+002,-5.82300543434953e-001,-8.33954929012615e-001
1.30016957803331e+002,-5.82300524756736e-001,-8.34915924064192e-001
1.30166731557928e+002,-5.82300506035412e-001,-8.35878027233091e-001
1.30316677845232e+002,-5.82300487270895e-001,-8.36841239799602e-001
1.30466796863991e+002,-5.82300468463028e-001,-8.37805563045497e-001
1.30617088813186e+002,-5.82300449611767e-001,-8.38770998254088e-001
1.30767553892024e+002,-5.82300430716989e-001,-8.39737546710069e-001
1.30918192299943e+002,-5.82300411778550e-001,-8.40705209699692e-001
1.31069004236610e+002,-5.82300392796420e-001,-8.41673988510779e-001
1.31219989901922e+002,-5.82300373770466e-001,-8.42643884432477e-001
1.31371149496008e+002,-5.82300354700567e-001,-8.43614898755603e-001
1.31522483219226e+002,-5.82300335586673e-001,-8.44587032772314e-001
1.31673991272164e+002,-5.82300316428662e-001,-8.45560287776423e-001
1.31825673855643e+002,-5.82300297226403e-001,-8.46534665063172e-001
1.31977531170714e+002,-5.82300277979822e-001,-8.47510165929280e-001
1.32129563418659e+002,-5.82300258688801e-001,-8.48486791673025e-001
1.32281770800995e+002,-5.82300239353253e-001,-8.49464543594170e-001
1.32434153519468e+002,-5.82300219973057e-001,-8.50443422993990e-001
1.32586711776058e+002,-5.82300200548123e-001,-8.51423431175297e-001
1.32739445772976e+002,-5.82300181078340e-001,-8.52404569442386e-001
1.32892355712668e+002,-5.82300161563618e-001,-8.53386839101072e-001
1.33045441797811e+002,-5.82300142003827e-001,-8.54370241458697e-001
1.33198704231318e+002,-5.82300122398921e-001,-8.55354777824143e-001
1.33352143216334e+002,-5.82300102748712e-001,-8.56340449507789e-001
1.33505758956239e+002,-5.82300083053149e-001,-8.57327257821521e-001
1.33659551654646e+002,-5.82300063312110e-001,-8.58315204078763e-001
1.33813521515404e+002,-5.82300043525524e-001,-8.59304289594541e-001
1.33967668742596e+002,-5.82300023693215e-001,-8.60294515685265e-001
1.34121993540539e+002,-5.82300003815142e-001,-8.61285883669015e-001
1.34276496113788e+002,-5.82299983891150e-001,-8.62278394865279e-001
1.34431176667133e+002,-5.82299963921173e-001,-8.63272050595192e-001
1.34586035405597e+002,-5.82299943905119e-001,-8.64266852181349e-001
1.34741072534443e+002,-5.82299923842814e-001,-8.65262800947957e-001
1.34896288259167e+002,-5.82299903734237e-001,-8.66259898220688e-001
1.35051682785506e+002,-5.82299883579178e-001,-8.67258145326718e-001
