f,v1,v2
7563.7530898689465,-0.0062699475172531228,-0.59568847405075198
7568.4414889949776,-0.0060213841795069513,-0.59980458944175641
7573.1327942294047,-0.0052019949440701881,-0.60247361865094284
7577.827007373583,-0.0054964598239221809,-0.60569757377972555
7582.524130229981,-0.0055695359180321308,-0.60949569999937681
7587.2241646021903,-0.0054263179525117656,-0.6122280781391275
7591.9271122949121,-0.0052487954945723029,-0.61619848483145545
7596.6329751139729,-0.0048400323733168611,-0.61953487545775587
7601.3417548663156,-0.0057057843353192673,-0.62534450609217918
7606.0534533600048,-0.0057187234231647821,-0.62862803670369716
7610.7680724042257,-0.0056543579600443431,-0.63248057728640272
7615.4856138092828,-0.0053257812511948721,-0.6352140500450647
7620.206079386604,-0.0053958629767798701,-0.63898746158054787
7624.9294709487403,-0.0060225438476520805,-0.64271301013800719
7629.6557903093662,-0.0059398297474022926,-0.64758443485492034
7634.3850392832801,-0.0059452956222440113,-0.65177323660905739
7639.1172196864063,-0.0054981442814037267,-0.65536213147942868
7643.8523333357916,-0.0056497958483438387,-0.65907527583104786
7648.5903820496133,-0.0067116702047604736,-0.66420863412240871
7653.3313676471735,-0.0065598581242518614,-0.66858330772341368
7658.0752919489005,-0.006565578553702542,-0.67299048403897843
7662.8221567763558,-0.0072784210332126568,-0.67723452522598881
7667.5719639522249,-0.0072048878838160465,-0.68190403192320481
7672.3247153003249,-0.0077645331511634122,-0.68719699146771396
7677.0804126456032,-0.0081002487286899374,-0.69092925328493304
7681.8390578141407,-0.0078151640602097776,-0.69509261167219116
7686.6006526331485,-0.0093057191256292627,-0.70077347354104369
7691.3651989309674,-0.0094604398580514157,-0.70609889984015006
7696.1326985370742,-0.009616083419690882,-0.71121458505380231
7700.9031532820827,-0.010882308963789413,-0.71542953816438737
7705.6765649977369,-0.011734488495246231,-0.72215941056192801
7710.4529355169179,-0.012705464158523796,-0.72637310792775089
7715.2322666736418,-0.012737431801566022,-0.73208365236175688
7720.0145603030624,-0.014551963448121404,-0.73801156562974124
7724.7998182414731,-0.015571573486343523,-0.74357310900729889
7729.5880423263006,-0.016982543687348917,-0.74891472157694472
7734.3792343961168,-0.018019826573246678,-0.75555588526092587
7739.1733962906274,-0.019214988901656991,-0.76095128062522777
7743.9705298506797,-0.021499138534586654,-0.76869697508635826
7748.770636918267,-0.020967974066756819,-0.77293871995435015
7753.5737193365167,-0.020058263426713789,-0.77653394454824931
7758.3797789497057,-0.018938870942619056,-0.78009199065559498
7763.1888176032498,-0.017707724079893124,-0.78422830119687048
7768.0008371437088,-0.016267157321669355,-0.78810445552814645
7772.8158394187903,-0.01467634777237924,-0.7913036150137196
7777.6338262773434,-0.013710434254318718,-0.79574353874312931
7782.4547995693647,-0.013428893670354896,-0.80019488576066311
7787.2787611459999,-0.011780665554124707,-0.80321005614944208
7792.1057128595367,-0.011917266364855416,-0.8079661974692971
7796.9356565634153,-0.01132017971832173,-0.81316124740993867
7801.7685941122245,-0.0092816078792349009,-0.81702883240298019
7806.604527361701,-0.0092741993987166642,-0.82223323830164408
7811.4434581687337,-0.0093671486206939915,-0.82822697488092678
7816.2853883913585,-0.0071418235150655755,-0.83051180333881136
7821.1303198887699,-0.0068321386146229287,-0.8357296755514072
7825.9782545213075,-0.0064072303948718009,-0.84100775120984084
7830.8291941504685,-0.0069595701418832473,-0.84721753325411675
