f,mag,pha
1.59955802861465e+003,-7.39090630332711e-002,1.77816307464510e+002
1.60324539069002e+003,-7.37996036763166e-002,1.77810944332539e+002
1.60694125301286e+003,-7.36896141542596e-002,1.77805566451949e+002
1.61064563517825e+003,-7.35790917819992e-002,1.77800173770960e+002
1.61435855682647e+003,-7.34680338598073e-002,1.77794766237534e+002
1.61808003764305e+003,-7.33564376731155e-002,1.77789343799374e+002
1.62181009735891e+003,-7.32443004925050e-002,1.77783906403924e+002
1.62554875575047e+003,-7.31316195735634e-002,1.77778453998361e+002
1.62929603263970e+003,-7.30183921568454e-002,1.77772986529599e+002
1.63305194789432e+003,-7.29046154677056e-002,1.77767503944286e+002
1.63681652142779e+003,-7.27902867162613e-002,1.77762006188800e+002
1.64058977319952e+003,-7.26754030973046e-002,1.77756493209249e+002
1.64437172321491e+003,-7.25599617901656e-002,1.77750964951469e+002
1.64816239152549e+003,-7.24439599586352e-002,1.77745421361023e+002
1.65196179822900e+003,-7.23273947508554e-002,1.77739862383196e+002
1.65576996346951e+003,-7.22102632992800e-002,1.77734287962996e+002
1.65958690743754e+003,-7.20925627204894e-002,1.77728698045151e+002
1.66341265037015e+003,-7.19742901151396e-002,1.77723092574108e+002
1.66724721255104e+003,-7.18554425678851e-002,1.77717471494030e+002
1.67109061431069e+003,-7.17360171472314e-002,1.77711834748795e+002
1.67494287602642e+003,-7.16160109054404e-002,1.77706182281991e+002
1.67880401812254e+003,-7.14954208784665e-002,1.77700514036920e+002
1.68267406107045e+003,-7.13742440858251e-002,1.77694829956589e+002
1.68655302538872e+003,-7.12524775304794e-002,1.77689129983714e+002
1.69044093164324e+003,-7.11301181987637e-002,1.77683414060714e+002
1.69433780044731e+003,-7.10071630602607e-002,1.77677682129711e+002
1.69824365246172e+003,-7.08836090677076e-002,1.77671934132526e+002
1.70215850839493e+003,-7.07594531568693e-002,1.77666170010679e+002
1.70608238900310e+003,-7.06346922464707e-002,1.77660389705386e+002
1.71001531509027e+003,-7.05093232380111e-002,1.77654593157557e+002
1.71395730750840e+003,-7.03833430157812e-002,1.77648780307793e+002
1.71790838715757e+003,-7.02567484466242e-002,1.77642951096385e+002
1.72186857498598e+003,-7.01295363798996e-002,1.77637105463312e+002
1.72583789199018e+003,-7.00017036473527e-002,1.77631243348236e+002
1.72981635921508e+003,-6.98732470630177e-002,1.77625364690505e+002
1.73380399775412e+003,-6.97441634230603e-002,1.77619469429145e+002
1.73780082874935e+003,-6.96144495057188e-002,1.77613557502861e+002
1.74180687339159e+003,-6.94841020711749e-002,1.77607628850036e+002
1.74582215292048e+003,-6.93531178613987e-002,1.77601683408724e+002
1.74984668862463e+003,-6.92214936000790e-002,1.77595721116652e+002
1.75388050184174e+003,-6.90892259924923e-002,1.77589741911217e+002
1.75792361395867e+003,-6.89563117253851e-002,1.77583745729481e+002
1.76197604641161e+003,-6.88227474668416e-002,1.77577732508172e+002
1.76603782068614e+003,-6.86885298662001e-002,1.77571702183678e+002
1.77010895831740e+003,-6.85536555538718e-002,1.77565654692048e+002
1.77418948089014e+003,-6.84181211412760e-002,1.77559589968988e+002
1.77827941003890e+003,-6.82819232207130e-002,1.77553507949859e+002
1.78237876744807e+003,-6.81450583651773e-002,1.77547408569674e+002
1.78648757485203e+003,-6.80075231283343e-002,1.77541291763094e+002
1.79060585403527e+003,-6.78693140443070e-002,1.77535157464430e+002
1.79473362683250e+003,-6.77304276275974e-002,1.77529005607635e+002
1.79887091512876e+003,-6.75908603729451e-002,1.77522836126305e+002
1.80301774085954e+003,-6.74506087551907e-002,1.77516648953676e+002
1.80717412601090e+003,-6.73096692291746e-002,1.77510444022621e+002
1.81134009261958e+003,-6.71680382295707e-002,1.77504221265644e+002
1.81551566277311e+003,-6.70257121707906e-002,1.77497980614885e+002
1.81970085860996e+003,-6.68826874468200e-002,1.77491722002109e+002
1.82389570231961e+003,-6.67389604311090e-002,1.77485445358709e+002
1.82810021614272e+003,-6.65945274764217e-002,1.77479150615701e+002
1.83231442237119e+003,-6.64493849147248e-002,1.77472837703722e+002
1.83653834334832e+003,-6.63035290570091e-002,1.77466506553025e+002
1.84077200146893e+003,-6.61569561932055e-002,1.77460157093480e+002
1.84501541917945e+003,-6.60096625920018e-002,1.77453789254567e+002
1.84926861897805e+003,-6.58616445007381e-002,1.77447402965376e+002
1.85353162341478e+003,-6.57128981452154e-002,1.77440998154606e+002
1.85780445509167e+003,-6.55634197296395e-002,1.77434574750555e+002
1.86208713666284e+003,-6.54132054363810e-002,1.77428132681124e+002
1.86637969083464e+003,-6.52622514259195e-002,1.77421671873811e+002
1.87068214036577e+003,-6.51105538366231e-002,1.77415192255708e+002
1.87499450806739e+003,-6.49581087846430e-002,1.77408693753500e+002
1.87931681680324e+003,-6.48049123637878e-002,1.77402176293459e+002
1.88364908948977e+003,-6.46509606453120e-002,1.77395639801443e+002
1.88799134909627e+003,-6.44962496778243e-002,1.77389084202890e+002
1.89234361864495e+003,-6.43407754871125e-002,1.77382509422822e+002
