Freq.	V(vin_4)
1.62181009735892e+003	(-3.73803497073367e+001dB,1.39253017515705e+002°)
1.65958690743755e+003	(-3.59181787429294e+001dB,1.35108386609950e+002°)
1.69824365246174e+003	(-3.44220726411417e+001dB,1.30110470890267e+002°)
1.73780082874937e+003	(-3.29111102447046e+001dB,1.24039754901351e+002°)
1.77827941003892e+003	(-3.14224828924073e+001dB,1.16658809796505e+002°)
1.81970085860998e+003	(-3.00195404740782e+001dB,1.07778015371711e+002°)
1.86208713666286e+003	(-2.87937596555481e+001dB,9.73902067476626e+001°)
1.90546071796324e+003	(-2.78471284887673e+001dB,8.58416828979018e+001°)
1.94984459975804e+003	(-2.72488121655810e+001dB,7.38829855804073e+001°)
1.99526231496887e+003	(-2.69934982009504e+001dB,6.24350324325424e+001°)
2.04173794466952e+003	(-2.70048852478706e+001dB,5.22033065323044e+001°)
2.08929613085403e+003	(-2.71802660916377e+001dB,4.34813297081703e+001°)
2.13796208950222e+003	(-2.74312397016511e+001dB,3.62287985439124e+001°)
2.18776162394954e+003	(-2.76980543058474e+001dB,3.02439172767692e+001°)
2.23872113856833e+003	(-2.79462060126120e+001dB,2.52890139470352e+001°)
2.29086765276776e+003	(-2.81582650427837e+001dB,2.11488393505785e+001°)
2.34422881531991e+003	(-2.83269359599366e+001dB,1.76474830562210e+001°)
2.39883291901948e+003	(-2.84504820822963e+001dB,1.46473809090010e+001°)
2.45470891568502e+003	(-2.85300190659654e+001dB,1.20427583128590e+001°)
2.51188643150957e+003	(-2.85680002686324e+001dB,9.75253976553266e+000°)
2.57039578276885e+003	(-2.85673983329125e+001dB,7.71432970931639e+000°)
2.63026799189537e+003	(-2.85312773704400e+001dB,5.87973202367420e+000°)
2.69153480392690e+003	(-2.84625797457914e+001dB,4.21084189402839e+000°)
2.75422870333815e+003	(-2.83640290508235e+001dB,2.67765382269787e+000°)
2.81838293126444e+003	(-2.82380949299312e+001dB,1.25615240941419e+000°)
2.88403150312659e+003	(-2.80869899233441e+001dB,-7.30981088595068e-002°)
2.95120922666637e+003	(-2.79126820290352e+001dB,-1.32600240659857e+000°)
