Freq.	V(vhp1)
1.87499450806739e+003	(-2.80219797740791e+001dB,1.78888740868281e+002°)
1.87931681680324e+003	(-2.79811326450208e+001dB,1.78886132284841e+002°)
1.88364908948977e+003	(-2.79402815247752e+001dB,1.78883516838735e+002°)
1.88799134909627e+003	(-2.78994263941415e+001dB,1.78880894509175e+002°)
1.89234361864495e+003	(-2.78585672338246e+001dB,1.78878265275293e+002°)
1.89670592121112e+003	(-2.78177040244328e+001dB,1.78875629116127e+002°)
1.90107827992327e+003	(-2.77768367464767e+001dB,1.78872986010628e+002°)
1.90546071796322e+003	(-2.77359653803699e+001dB,1.78870335937663e+002°)
1.90985325856621e+003	(-2.76950899064279e+001dB,1.78867678875999e+002°)
1.91425592502106e+003	(-2.76542103048670e+001dB,1.78865014804324e+002°)
1.91866874067026e+003	(-2.76133265558054e+001dB,1.78862343701222e+002°)
1.92309172891013e+003	(-2.75724386392609e+001dB,1.78859665545200e+002°)
1.92752491319091e+003	(-2.75315465351511e+001dB,1.78856980314657e+002°)
1.93196831701689e+003	(-2.74906502232935e+001dB,1.78854287987916e+002°)
1.93642196394658e+003	(-2.74497496834045e+001dB,1.78851588543195e+002°)
1.94088587759275e+003	(-2.74088448950969e+001dB,1.78848881958625e+002°)
1.94536008162263e+003	(-2.73679358378833e+001dB,1.78846168212238e+002°)
1.94984459975802e+003	(-2.73270224911718e+001dB,1.78843447281973e+002°)
1.95433945577536e+003	(-2.72861048342686e+001dB,1.78840719145678e+002°)
1.95884467350596e+003	(-2.72451828463741e+001dB,1.78837983781101e+002°)
1.96336027683602e+003	(-2.72042565065853e+001dB,1.78835241165889e+002°)
1.96788628970681e+003	(-2.71633257938938e+001dB,1.78832491277603e+002°)
1.97242273611482e+003	(-2.71223906871853e+001dB,1.78829734093696e+002°)
1.97696964011183e+003	(-2.70814511652396e+001dB,1.78826969591532e+002°)
1.98152702580507e+003	(-2.70405072067285e+001dB,1.78824197748367e+002°)
1.98609491735734e+003	(-2.69995587902180e+001dB,1.78821418541366e+002°)
1.99067333898715e+003	(-2.69586058941645e+001dB,1.78818631947587e+002°)
1.99526231496885e+003	(-2.69176484969172e+001dB,1.78815837943994e+002°)
1.99986186963271e+003	(-2.68766865767145e+001dB,1.78813036507448e+002°)
2.00447202736513e+003	(-2.68357201116865e+001dB,1.78810227614701e+002°)
2.00909281260870e+003	(-2.67947490798518e+001dB,1.78807411242415e+002°)
2.01372424986236e+003	(-2.67537734591186e+001dB,1.78804587367143e+002°)
2.01836636368153e+003	(-2.67127932272829e+001dB,1.78801755965329e+002°)
2.02301917867824e+003	(-2.66718083620293e+001dB,1.78798917013322e+002°)
2.02768271952125e+003	(-2.66308188409284e+001dB,1.78796070487363e+002°)
2.03235701093619e+003	(-2.65898246414391e+001dB,1.78793216363586e+002°)
2.03704207770568e+003	(-2.65488257409037e+001dB,1.78790354618020e+002°)
2.04173794466950e+003	(-2.65078221165524e+001dB,1.78787485226584e+002°)
2.04644463672464e+003	(-2.64668137454984e+001dB,1.78784608165099e+002°)
2.05116217882553e+003	(-2.64258006047392e+001dB,1.78781723409266e+002°)
2.05589059598411e+003	(-2.63847826711563e+001dB,1.78778830934689e+002°)
2.06062991326997e+003	(-2.63437599215131e+001dB,1.78775930716852e+002°)
2.06538015581049e+003	(-2.63027323324559e+001dB,1.78773022731136e+002°)
2.07014134879101e+003	(-2.62616998805121e+001dB,1.78770106952807e+002°)
2.07491351745487e+003	(-2.62206625420896e+001dB,1.78767183357022e+002°)
2.07969668710366e+003	(-2.61796202934770e+001dB,1.78764251918829e+002°)
2.08449088309725e+003	(-2.61385731108419e+001dB,1.78761312613155e+002°)
2.08929613085400e+003	(-2.60975209702316e+001dB,1.78758365414823e+002°)
2.09411245585086e+003	(-2.60564638475703e+001dB,1.78755410298534e+002°)
2.09893988362349e+003	(-2.60154017186603e+001dB,1.78752447238878e+002°)
2.10377843976644e+003	(-2.59743345591811e+001dB,1.78749476210331e+002°)
2.10862814993325e+003	(-2.59332623446878e+001dB,1.78746497187251e+002°)
2.11348903983661e+003	(-2.58921850506110e+001dB,1.78743510143872e+002°)
2.11836113524846e+003	(-2.58511026522560e+001dB,1.78740515054324e+002°)
2.12324446200018e+003	(-2.58100151248027e+001dB,1.78737511892610e+002°)
2.12813904598267e+003	(-2.57689224433037e+001dB,1.78734500632611e+002°)
2.13304491314654e+003	(-2.57278245826845e+001dB,1.78731481248102e+002°)
2.13796208950219e+003	(-2.56867215177426e+001dB,1.78728453712716e+002°)
2.14289060112002e+003	(-2.56456132231463e+001dB,1.78725417999985e+002°)
2.14783047413050e+003	(-2.56044996734355e+001dB,1.78722374083304e+002°)
2.15278173472433e+003	(-2.55633808430186e+001dB,1.78719321935953e+002°)
2.15774440915263e+003	(-2.55222567061736e+001dB,1.78716261531087e+002°)
2.16271852372698e+003	(-2.54811272370474e+001dB,1.78713192841737e+002°)
2.16770410481966e+003	(-2.54399924096535e+001dB,1.78710115840804e+002°)
2.17270117886370e+003	(-2.53988521978733e+001dB,1.78707030501071e+002°)
2.17770977235312e+003	(-2.53577065754534e+001dB,1.78703936795183e+002°)
2.18272991184296e+003	(-2.53165555160059e+001dB,1.78700834695668e+002°)
2.18776162394951e+003	(-2.52753989930086e+001dB,1.78697724174919e+002°)
2.19280493535041e+003	(-2.52342369798014e+001dB,1.78694605205204e+002°)
2.19785987278478e+003	(-2.51930694495887e+001dB,1.78691477758656e+002°)
2.20292646305342e+003	(-2.51518963754371e+001dB,1.78688341807280e+002°)
2.20800473301886e+003	(-2.51107177302738e+001dB,1.78685197322951e+002°)
2.21309470960560e+003	(-2.50695334868874e+001dB,1.78682044277406e+002°)
2.21819641980018e+003	(-2.50283436179267e+001dB,1.78678882642254e+002°)
