Freq.	V(vhp2)
1.58489319246110e+003	(-6.96889680469754e+001dB,-2.92447395576988e+000°)
1.58854674859776e+003	(-6.96078430847919e+001dB,-2.93125190550522e+000°)
1.59220872705115e+003	(-6.95267128623143e+001dB,-2.93804704452406e+000°)
1.59587914723672e+003	(-6.94455773545921e+001dB,-2.94485942058709e+000°)
1.59955802861465e+003	(-6.93644365365516e+001dB,-2.95168908164407e+000°)
1.60324539069002e+003	(-6.92832903829993e+001dB,-2.95853607581105e+000°)
1.60694125301286e+003	(-6.92021388686182e+001dB,-2.96540045137337e+000°)
1.61064563517825e+003	(-6.91209819679668e+001dB,-2.97228225682362e+000°)
1.61435855682647e+003	(-6.90398196554811e+001dB,-2.97918154080831e+000°)
1.61808003764305e+003	(-6.89586519054744e+001dB,-2.98609835216575e+000°)
1.62181009735891e+003	(-6.88774786921310e+001dB,-2.99303273991591e+000°)
1.62554875575047e+003	(-6.87962999895130e+001dB,-2.99998475326189e+000°)
1.62929603263970e+003	(-6.87151157715529e+001dB,-3.00695444158469e+000°)
1.63305194789432e+003	(-6.86339260120584e+001dB,-3.01394185445683e+000°)
1.63681652142779e+003	(-6.85527306847087e+001dB,-3.02094704163209e+000°)
1.64058977319952e+003	(-6.84715297630556e+001dB,-3.02797005305750e+000°)
1.64437172321491e+003	(-6.83903232205217e+001dB,-3.03501093885744e+000°)
1.64816239152549e+003	(-6.83091110303976e+001dB,-3.04206974935116e+000°)
1.65196179822900e+003	(-6.82278931658472e+001dB,-3.04914653504729e+000°)
1.65576996346951e+003	(-6.81466695999002e+001dB,-3.05624134664450e+000°)
1.65958690743754e+003	(-6.80654403054576e+001dB,-3.06335423503228e+000°)
1.66341265037015e+003	(-6.79842052552844e+001dB,-3.07048525128775e+000°)
1.66724721255104e+003	(-6.79029644220165e+001dB,-3.07763444669137e+000°)
1.67109061431069e+003	(-6.78217177781548e+001dB,-3.08480187271254e+000°)
1.67494287602642e+003	(-6.77404652960624e+001dB,-3.09198758101170e+000°)
1.67880401812254e+003	(-6.76592069479734e+001dB,-3.09919162345507e+000°)
1.68267406107045e+003	(-6.75779427059808e+001dB,-3.10641405210120e+000°)
1.68655302538872e+003	(-6.74966725420442e+001dB,-3.11365491920511e+000°)
1.69044093164324e+003	(-6.74153964279839e+001dB,-3.12091427722480e+000°)
1.69433780044731e+003	(-6.73341143354852e+001dB,-3.12819217881602e+000°)
1.69824365246172e+003	(-6.72528262360918e+001dB,-3.13548867683811e+000°)
1.70215850839493e+003	(-6.71715321012094e+001dB,-3.14280382435456e+000°)
1.70608238900310e+003	(-6.70902319021031e+001dB,-3.15013767462924e+000°)
1.71001531509027e+003	(-6.70089256098993e+001dB,-3.15749028113226e+000°)
1.71395730750840e+003	(-6.69276131955794e+001dB,-3.16486169753646e+000°)
1.71790838715757e+003	(-6.68462946299853e+001dB,-3.17225197773026e+000°)
1.72186857498598e+003	(-6.67649698838141e+001dB,-3.17966117580175e+000°)
1.72583789199018e+003	(-6.66836389276225e+001dB,-3.18708934605054e+000°)
1.72981635921508e+003	(-6.66023017318190e+001dB,-3.19453654298932e+000°)
1.73380399775412e+003	(-6.65209582666664e+001dB,-3.20200282133151e+000°)
1.73780082874935e+003	(-6.64396085022867e+001dB,-3.20948823602253e+000°)
1.74180687339159e+003	(-6.63582524086498e+001dB,-3.21699284220268e+000°)
1.74582215292048e+003	(-6.62768899555807e+001dB,-3.22451669523597e+000°)
1.74984668862463e+003	(-6.61955211127557e+001dB,-3.23205985070449e+000°)
1.75388050184174e+003	(-6.61141458497031e+001dB,-3.23962236439498e+000°)
1.75792361395867e+003	(-6.60327641357982e+001dB,-3.24720429233128e+000°)
1.76197604641161e+003	(-6.59513759402703e+001dB,-3.25480569074052e+000°)
1.76603782068614e+003	(-6.58699812321926e+001dB,-3.26242661607365e+000°)
1.77010895831740e+003	(-6.57885799804899e+001dB,-3.27006712501311e+000°)
1.77418948089014e+003	(-6.57071721539326e+001dB,-3.27772727445024e+000°)
1.77827941003890e+003	(-6.56257577211384e+001dB,-3.28540712151290e+000°)
1.78237876744807e+003	(-6.55443366505673e+001dB,-3.29310672354551e+000°)
1.78648757485203e+003	(-6.54629089105279e+001dB,-3.30082613812232e+000°)
1.79060585403527e+003	(-6.53814744691695e+001dB,-3.30856542304841e+000°)
1.79473362683250e+003	(-6.53000332944872e+001dB,-3.31632463635437e+000°)
1.79887091512876e+003	(-6.52185853543172e+001dB,-3.32410383629901e+000°)
1.80301774085954e+003	(-6.51371306163351e+001dB,-3.33190308137534e+000°)
1.80717412601090e+003	(-6.50556690480605e+001dB,-3.33972243031173e+000°)
1.81134009261958e+003	(-6.49742006168499e+001dB,-3.34756194206935e+000°)
1.81551566277311e+003	(-6.48927252899002e+001dB,-3.35542167584008e+000°)
1.81970085860996e+003	(-6.48112430342455e+001dB,-3.36330169105608e+000°)
1.82389570231961e+003	(-6.47297538167582e+001dB,-3.37120204738691e+000°)
1.82810021614272e+003	(-6.46482576041460e+001dB,-3.37912280474550e+000°)
1.83231442237119e+003	(-6.45667543629530e+001dB,-3.38706402327735e+000°)
1.83653834334832e+003	(-6.44852440595557e+001dB,-3.39502576337627e+000°)
1.84077200146893e+003	(-6.44037266601678e+001dB,-3.40300808567954e+000°)
1.84501541917945e+003	(-6.43222021308336e+001dB,-3.41101105106125e+000°)
1.84926861897805e+003	(-6.42406704374294e+001dB,-3.41903472065077e+000°)
1.85353162341478e+003	(-6.41591315456620e+001dB,-3.42707915581825e+000°)
1.85780445509167e+003	(-6.40775854210720e+001dB,-3.43514441818891e+000°)
1.86208713666284e+003	(-6.39960320290249e+001dB,-3.44323056963248e+000°)
1.86637969083464e+003	(-6.39144713347164e+001dB,-3.45133767227040e+000°)
1.87068214036577e+003	(-6.38329033031700e+001dB,-3.45946578848084e+000°)
1.87499450806739e+003	(-6.37513278992361e+001dB,-3.46761498089126e+000°)
1.87931681680324e+003	(-6.36697450875895e+001dB,-3.47578531239062e+000°)
1.88364908948977e+003	(-6.35881548327308e+001dB,-3.48397684611818e+000°)
1.88799134909627e+003	(-6.35065570989844e+001dB,-3.49218964548123e+000°)
1.89234361864495e+003	(-6.34249518504973e+001dB,-3.50042377413557e+000°)
1.89670592121112e+003	(-6.33433390512374e+001dB,-3.50867929600929e+000°)
1.90107827992327e+003	(-6.32617186649968e+001dB,-3.51695627528580e+000°)
1.90546071796322e+003	(-6.31800906553835e+001dB,-3.52525477641293e+000°)
1.90985325856621e+003	(-6.30984549858278e+001dB,-3.53357486411258e+000°)
1.91425592502106e+003	(-6.30168116195764e+001dB,-3.54191660336606e+000°)
1.91866874067026e+003	(-6.29351605196945e+001dB,-3.55028005942744e+000°)
1.92309172891013e+003	(-6.28535016490625e+001dB,-3.55866529782034e+000°)
1.92752491319091e+003	(-6.27718349703764e+001dB,-3.56707238434102e+000°)
1.93196831701689e+003	(-6.26901604461471e+001dB,-3.57550138505548e+000°)
1.93642196394658e+003	(-6.26084780386967e+001dB,-3.58395236630962e+000°)
1.94088587759275e+003	(-6.25267877101625e+001dB,-3.59242539472924e+000°)
1.94536008162263e+003	(-6.24450894224916e+001dB,-3.60092053720818e+000°)
1.94984459975802e+003	(-6.23633831374404e+001dB,-3.60943786092827e+000°)
1.95433945577536e+003	(-6.22816688165756e+001dB,-3.61797743335066e+000°)
1.95884467350596e+003	(-6.21999464212727e+001dB,-3.62653932221766e+000°)
1.96336027683602e+003	(-6.21182159127133e+001dB,-3.63512359556239e+000°)
1.96788628970681e+003	(-6.20364772518857e+001dB,-3.64373032169515e+000°)
1.97242273611482e+003	(-6.19547303995836e+001dB,-3.65235956922394e+000°)
1.97696964011183e+003	(-6.18729753164045e+001dB,-3.66101140704132e+000°)
1.98152702580507e+003	(-6.17912119627486e+001dB,-3.66968590432894e+000°)
1.98609491735734e+003	(-6.17094402988186e+001dB,-3.67838313056910e+000°)
1.99067333898715e+003	(-6.16276602846184e+001dB,-3.68710315553086e+000°)
1.99526231496885e+003	(-6.15458718799509e+001dB,-3.69584604928670e+000°)
1.99986186963271e+003	(-6.14640750444180e+001dB,-3.70461188220282e+000°)
2.00447202736513e+003	(-6.13822697374208e+001dB,-3.71340072494963e+000°)
2.00909281260870e+003	(-6.13004559181542e+001dB,-3.72221264849125e+000°)
2.01372424986236e+003	(-6.12186335456119e+001dB,-3.73104772410457e+000°)
2.01836636368153e+003	(-6.11368025785789e+001dB,-3.73990602336867e+000°)
2.02301917867824e+003	(-6.10549629756367e+001dB,-3.74878761816842e+000°)
2.02768271952125e+003	(-6.09731146951550e+001dB,-3.75769258069620e+000°)
2.03235701093619e+003	(-6.08912576952994e+001dB,-3.76662098346194e+000°)
2.03704207770568e+003	(-6.08093919340216e+001dB,-3.77557289927963e+000°)
2.04173794466950e+003	(-6.07275173690632e+001dB,-3.78454840128431e+000°)
2.04644463672464e+003	(-6.06456339579545e+001dB,-3.79354756292349e+000°)
2.05116217882553e+003	(-6.05637416580122e+001dB,-3.80257045796577e+000°)
2.05589059598411e+003	(-6.04818404263368e+001dB,-3.81161716049679e+000°)
2.06062991326997e+003	(-6.03999302198145e+001dB,-3.82068774492503e+000°)
2.06538015581049e+003	(-6.03180109951135e+001dB,-3.82978228598681e+000°)
2.07014134879101e+003	(-6.02360827086855e+001dB,-3.83890085873947e+000°)
2.07491351745487e+003	(-6.01541453167618e+001dB,-3.84804353856926e+000°)
2.07969668710366e+003	(-6.00721987753524e+001dB,-3.85721040119315e+000°)
2.08449088309725e+003	(-5.99902430402474e+001dB,-3.86640152266093e+000°)
2.08929613085400e+003	(-5.99082780670125e+001dB,-3.87561697935316e+000°)
2.09411245585086e+003	(-5.98263038109906e+001dB,-3.88485684798666e+000°)
2.09893988362349e+003	(-5.97443202272981e+001dB,-3.89412120562112e+000°)
2.10377843976644e+003	(-5.96623272708258e+001dB,-3.90341012964716e+000°)
2.10862814993325e+003	(-5.95803248962355e+001dB,-3.91272369780524e+000°)
2.11348903983661e+003	(-5.94983130579611e+001dB,-3.92206198817667e+000°)
2.11836113524846e+003	(-5.94162917102058e+001dB,-3.93142507918856e+000°)
2.12324446200018e+003	(-5.93342608069415e+001dB,-3.94081304961483e+000°)
2.12813904598267e+003	(-5.92522203019070e+001dB,-3.95022597858491e+000°)
2.13304491314654e+003	(-5.91701701486070e+001dB,-3.95966394557128e+000°)
2.13796208950219e+003	(-5.90881103003111e+001dB,-3.96912703041313e+000°)
2.14289060112002e+003	(-5.90060407100517e+001dB,-3.97861531329384e+000°)
2.14783047413050e+003	(-5.89239613306246e+001dB,-3.98812887476599e+000°)
2.15278173472433e+003	(-5.88418721145846e+001dB,-3.99766779573734e+000°)
2.15774440915263e+003	(-5.87597730142467e+001dB,-4.00723215748054e+000°)
2.16271852372698e+003	(-5.86776639816850e+001dB,-4.01682204163329e+000°)
2.16770410481966e+003	(-5.85955449687278e+001dB,-4.02643753020284e+000°)
