Freq.	V(vout)/V(vin)
1.61064563517825e+002	(7.87865555089891e+001dB,9.39041772591089e+001°)
1.61435855682647e+002	(7.87667096741919e+001dB,9.38887102769917e+001°)
1.61808003764305e+002	(7.87468629727498e+001dB,9.38732632862822e+001°)
1.62181009735891e+002	(7.87270154078217e+001dB,9.38578362095760e+001°)
1.62554875575047e+002	(7.87071669825490e+001dB,9.38424289695454e+001°)
1.62929603263970e+002	(7.86873177000558e+001dB,9.38270414889393e+001°)
1.63305194789432e+002	(7.86674675634488e+001dB,9.38116736905827e+001°)
1.63681652142779e+002	(7.86476165758173e+001dB,9.37963254973770e+001°)
1.64058977319952e+002	(7.86277647402336e+001dB,9.37809968322994e+001°)
1.64437172321491e+002	(7.86079120597525e+001dB,9.37656876184026e+001°)
1.64816239152549e+002	(7.85880585374120e+001dB,9.37503977788152e+001°)
1.65196179822900e+002	(7.85682041762330e+001dB,9.37351272367408e+001°)
1.65576996346951e+002	(7.85483489792191e+001dB,9.37198759154581e+001°)
1.65958690743754e+002	(7.85284929493573e+001dB,9.37046437383208e+001°)
1.66341265037015e+002	(7.85086360896176e+001dB,9.36894306287570e+001°)
1.66724721255104e+002	(7.84887784029531e+001dB,9.36742365102694e+001°)
1.67109061431069e+002	(7.84689198923002e+001dB,9.36590613064350e+001°)
1.67494287602642e+002	(7.84490605605786e+001dB,9.36439049409046e+001°)
1.67880401812254e+002	(7.84292004106912e+001dB,9.36287673374028e+001°)
1.68267406107045e+002	(7.84093394455245e+001dB,9.36136484197279e+001°)
1.68655302538872e+002	(7.83894776679482e+001dB,9.35985481117515e+001°)
1.69044093164324e+002	(7.83696150808156e+001dB,9.35834663374182e+001°)
1.69433780044731e+002	(7.83497516869638e+001dB,9.35684030207457e+001°)
1.69824365246172e+002	(7.83298874892131e+001dB,9.35533580858243e+001°)
1.70215850839493e+002	(7.83100224903676e+001dB,9.35383314568167e+001°)
1.70608238900310e+002	(7.82901566932154e+001dB,9.35233230579578e+001°)
1.71001531509027e+002	(7.82702901005278e+001dB,9.35083328135548e+001°)
1.71395730750840e+002	(7.82504227150605e+001dB,9.34933606479863e+001°)
1.71790838715757e+002	(7.82305545395527e+001dB,9.34784064857029e+001°)
1.72186857498599e+002	(7.82106855767277e+001dB,9.34634702512262e+001°)
1.72583789199018e+002	(7.81908158292926e+001dB,9.34485518691491e+001°)
1.72981635921508e+002	(7.81709452999388e+001dB,9.34336512641352e+001°)
1.73380399775412e+002	(7.81510739913415e+001dB,9.34187683609191e+001°)
1.73780082874935e+002	(7.81312019061601e+001dB,9.34039030843056e+001°)
1.74180687339159e+002	(7.81113290470384e+001dB,9.33890553591697e+001°)
1.74582215292048e+002	(7.80914554166040e+001dB,9.33742251104566e+001°)
1.74984668862463e+002	(7.80715810174693e+001dB,9.33594122631808e+001°)
1.75388050184174e+002	(7.80517058522307e+001dB,9.33446167424269e+001°)
1.75792361395867e+002	(7.80318299234689e+001dB,9.33298384733484e+001°)
1.76197604641161e+002	(7.80119532337492e+001dB,9.33150773811680e+001°)
1.76603782068614e+002	(7.79920757856215e+001dB,9.33003333911772e+001°)
1.77010895831740e+002	(7.79721975816200e+001dB,9.32856064287362e+001°)
1.77418948089014e+002	(7.79523186242634e+001dB,9.32708964192732e+001°)
1.77827941003890e+002	(7.79324389160554e+001dB,9.32562032882850e+001°)
1.78237876744807e+002	(7.79125584594840e+001dB,9.32415269613360e+001°)
1.78648757485203e+002	(7.78926772570221e+001dB,9.32268673640585e+001°)
1.79060585403527e+002	(7.78727953111273e+001dB,9.32122244221518e+001°)
1.79473362683250e+002	(7.78529126242420e+001dB,9.31975980613829e+001°)
1.79887091512876e+002	(7.78330291987936e+001dB,9.31829882075853e+001°)
1.80301774085954e+002	(7.78131450371942e+001dB,9.31683947866595e+001°)
1.80717412601090e+002	(7.77932601418410e+001dB,9.31538177245724e+001°)
1.81134009261958e+002	(7.77733745151161e+001dB,9.31392569473571e+001°)
1.81551566277311e+002	(7.77534881593868e+001dB,9.31247123811127e+001°)
1.81970085860996e+002	(7.77336010770052e+001dB,9.31101839520041e+001°)
1.82389570231961e+002	(7.77137132703089e+001dB,9.30956715862617e+001°)
1.82810021614272e+002	(7.76938247416203e+001dB,9.30811752101811e+001°)
1.83231442237119e+002	(7.76739354932473e+001dB,9.30666947501230e+001°)
1.83653834334832e+002	(7.76540455274831e+001dB,9.30522301325129e+001°)
1.84077200146893e+002	(7.76341548466058e+001dB,9.30377812838408e+001°)
1.84501541917945e+002	(7.76142634528794e+001dB,9.30233481306611e+001°)
1.84926861897805e+002	(7.75943713485530e+001dB,9.30089305995921e+001°)
1.85353162341478e+002	(7.75744785358611e+001dB,9.29945286173162e+001°)
1.85780445509167e+002	(7.75545850170238e+001dB,9.29801421105789e+001°)
1.86208713666284e+002	(7.75346907942467e+001dB,9.29657710061896e+001°)
1.86637969083464e+002	(7.75147958697209e+001dB,9.29514152310203e+001°)
1.87068214036577e+002	(7.74949002456233e+001dB,9.29370747120061e+001°)
1.87499450806739e+002	(7.74750039241163e+001dB,9.29227493761446e+001°)
1.87931681680324e+002	(7.74551069073479e+001dB,9.29084391504957e+001°)
1.88364908948977e+002	(7.74352091974521e+001dB,9.28941439621816e+001°)
1.88799134909627e+002	(7.74153107965485e+001dB,9.28798637383861e+001°)
1.89234361864495e+002	(7.73954117067425e+001dB,9.28655984063547e+001°)
1.89670592121112e+002	(7.73755119301254e+001dB,9.28513478933943e+001°)
1.90107827992327e+002	(7.73556114687746e+001dB,9.28371121268727e+001°)
1.90546071796322e+002	(7.73357103247530e+001dB,9.28228910342188e+001°)
1.90985325856621e+002	(7.73158085001099e+001dB,9.28086845429221e+001°)
1.91425592502106e+002	(7.72959059968805e+001dB,9.27944925805321e+001°)
1.91866874067026e+002	(7.72760028170858e+001dB,9.27803150746588e+001°)
1.92309172891013e+002	(7.72560989627332e+001dB,9.27661519529718e+001°)
1.92752491319091e+002	(7.72361944358162e+001dB,9.27520031432003e+001°)
1.93196831701689e+002	(7.72162892383144e+001dB,9.27378685731331e+001°)
1.93642196394658e+002	(7.71963833721936e+001dB,9.27237481706177e+001°)
1.94088587759275e+002	(7.71764768394058e+001dB,9.27096418635608e+001°)
1.94536008162263e+002	(7.71565696418895e+001dB,9.26955495799274e+001°)
1.94984459975802e+002	(7.71366617815693e+001dB,9.26814712477409e+001°)
1.95433945577536e+002	(7.71167532603563e+001dB,9.26674067950829e+001°)
1.95884467350596e+002	(7.70968440801479e+001dB,9.26533561500926e+001°)
1.96336027683602e+002	(7.70769342428281e+001dB,9.26393192409670e+001°)
1.96788628970681e+002	(7.70570237502671e+001dB,9.26252959959601e+001°)
1.97242273611482e+002	(7.70371126043219e+001dB,9.26112863433833e+001°)
1.97696964011183e+002	(7.70172008068359e+001dB,9.25972902116045e+001°)
1.98152702580507e+002	(7.69972883596390e+001dB,9.25833075290483e+001°)
1.98609491735734e+002	(7.69773752645479e+001dB,9.25693382241954e+001°)
1.99067333898716e+002	(7.69574615233659e+001dB,9.25553822255828e+001°)
1.99526231496885e+002	(7.69375471378828e+001dB,9.25414394618030e+001°)
1.99986186963271e+002	(7.69176321098754e+001dB,9.25275098615041e+001°)
2.00447202736513e+002	(7.68977164411071e+001dB,9.25135933533895e+001°)
2.00909281260870e+002	(7.68778001333281e+001dB,9.24996898662174e+001°)
2.01372424986236e+002	(7.68578831882754e+001dB,9.24857993288010e+001°)
2.01836636368153e+002	(7.68379656076730e+001dB,9.24719216700076e+001°)
2.02301917867824e+002	(7.68180473932315e+001dB,9.24580568187590e+001°)
2.02768271952125e+002	(7.67981285466488e+001dB,9.24442047040309e+001°)
2.03235701093619e+002	(7.67782090696095e+001dB,9.24303652548525e+001°)
2.03704207770569e+002	(7.67582889637852e+001dB,9.24165384003066e+001°)
2.04173794466950e+002	(7.67383682308347e+001dB,9.24027240695292e+001°)
2.04644463672464e+002	(7.67184468724035e+001dB,9.23889221917089e+001°)
2.05116217882553e+002	(7.66985248901247e+001dB,9.23751326960872e+001°)
2.05589059598411e+002	(7.66786022856181e+001dB,9.23613555119579e+001°)
2.06062991326997e+002	(7.66586790604907e+001dB,9.23475905686669e+001°)
2.06538015581050e+002	(7.66387552163369e+001dB,9.23338377956120e+001°)
2.07014134879101e+002	(7.66188307547381e+001dB,9.23200971222423e+001°)
2.07491351745488e+002	(7.65989056772631e+001dB,9.23063684780587e+001°)
2.07969668710366e+002	(7.65789799854677e+001dB,9.22926517926126e+001°)
2.08449088309726e+002	(7.65590536808954e+001dB,9.22789469955067e+001°)
2.08929613085401e+002	(7.65391267650767e+001dB,9.22652540163939e+001°)
2.09411245585086e+002	(7.65191992395297e+001dB,9.22515727849774e+001°)
2.09893988362349e+002	(7.64992711057597e+001dB,9.22379032310105e+001°)
2.10377843976644e+002	(7.64793423652595e+001dB,9.22242452842961e+001°)
2.10862814993325e+002	(7.64594130195093e+001dB,9.22105988746866e+001°)
2.11348903983661e+002	(7.64394830699769e+001dB,9.21969639320836e+001°)
2.11836113524847e+002	(7.64195525181176e+001dB,9.21833403864376e+001°)
2.12324446200018e+002	(7.63996213653741e+001dB,9.21697281677478e+001°)
2.12813904598268e+002	(7.63796896131767e+001dB,9.21561272060618e+001°)
