#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-16 15:25:53.719
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 1001
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43833 V
#Offset: -5.25147e-05 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB)
1807.174126010928,-5.106638974075503
1819.700858609984,-4.796412452720358
1832.314422371213,-3.774916945625298
1845.015419179474,-3.13053244071574
1857.8044550917,-2.782577283135732
1870.6821403658,-2.423484922517583
1883.649089489802,-2.322107249370114
1896.705921211146,-1.804698473463427
1909.85325856624,-1.194041449517973
1923.091728910159,-0.107593284008005
1936.421963946609,-0.4418710233505641
1949.844599758045,-0.1829943645640745
1963.360276836048,0.2428134991874828
1976.969640111861,0.7523210036231877
1990.673338987188,0.9105208130988767
2004.472027365161,1.012529639437994
2018.366363681563,1.495153740406435
2032.357010936222,1.601485483206504
2046.444636724676,1.706654887452043
2060.629913270001,1.788071616156532
2074.913517454911,1.890168308532702
2089.29613085404,1.867891679388574
2103.778439766477,2.054349287345691
2118.361135248502,2.254822764297456
2133.044913146578,2.266527409940159
2147.830474130534,2.364640209285827
2162.718523727022,2.015921871016784
2177.709772353159,2.171032674194254
2192.804935350451,2.577732491671219
2208.0047330189,2.116683600913725
2223.309890651406,2.006039537775272
2238.72113856834,2.195937235586737
2254.239212152432,2.256720993366651
2269.864851883822,2.905024809914706
2285.598803375432,2.460709115628234
2301.441817408509,2.485814494739139
2317.394649968481,2.254752463108028
2333.458062281004,2.161447823178935
2349.63282084831,2.014670953115179
2365.919697485759,1.983022438920128
2382.319469358692,2.38394031631659
2398.832919019491,2.498567895494237
2415.460834444943,2.265016810938359
2432.204009073816,2.231194295708878
2449.063241844748,2.373243089436976
2466.03933723434,2.65701322058165
2483.133105295573,2.471925144918295
2500.345361696432,2.437283345073162
2517.676927758858,2.547700977306705
2535.128630497908,2.297689671922211
2552.701302661249,2.609027559452858
2570.395782768865,2.5957290722247
2588.212915153093,2.466640220390352
2606.153549998896,2.415652085798894
2624.218543384443,2.242781346981287
2642.408757321948,2.420349249668127
2660.725059798811,2.546173567967276
2679.168324819033,2.248950016627857
2697.739432444922,2.500057184331319
2716.439268839084,2.473629915893629
2735.268726306714,2.442397258981102
2754.228703338168,2.476536075987956
2773.320104651842,2.459487837284677
2792.543841237339,2.307885663977115
2811.900830398943,2.590282651799653
2831.39199579938,2.536213231954988
2851.018267503911,2.451690641536607
2870.780582024692,2.257446274289313
2890.679882365478,2.489586856111853
2910.717118066607,2.397809539184373
2930.893245250323,2.574721502637174
2951.209226666387,2.372203489582223
2971.666031738028,2.42890229183739
2992.26463660819,2.509612518725052
3013.006024186123,2.406344156953658
3033.891184194272,2.254102052118018
3054.921113215516,2.399495735790444
3076.09681474071,2.383519987537058
3097.419299216583,2.490792237060205
3118.889584093939,2.398052052087901
3140.50869387622,2.301862460371177
3162.277660168381,2.360451643859948
3184.197521726125,2.355482502328287
3206.269324505467,2.256647674409543
3228.494121712636,2.232543980536513
3250.872973854346,2.262804644766732
3273.406948788383,2.324863801248773
3296.097121774579,2.429188741010567
3318.944575526104,2.311310238460002
3341.950400261144,2.301927581982119
3365.115693754908,2.523641090868499
3388.441561392028,2.369003247957029
3411.929116219287,2.318123447313939
3435.579478998748,2.251020176014482
3459.39377826122,2.428832675830628
3483.37315036012,2.211271592891224
3507.518739525681,2.286663730456277
3531.831697919572,2.316926859008101
3556.313185689854,2.331573436225933
3580.964371026362,2.265072240877941
3605.786430216425,2.238990137215087
3630.780547701016,2.262128545414878
3655.94791613125,2.225932871302338
3681.289736425317,2.292784888394405
3706.807217825762,2.191506740628326
3732.501577957208,2.153347628084386
3758.374042884443,2.284274795645858
3784.425847170936,2.256414120446787
3810.658233937732,2.240165980368735
3837.07245492279,2.252219066320599
3863.669770540693,2.200151838573037
3890.451449942809,2.248304629462332
3917.418771077832,2.202604702592647
3944.573020752787,2.156392025777383
3971.915494694405,2.120607441913092
3999.447497610978,2.164335822966597
4027.170343254593,2.195978476358386
4055.085354483841,2.209467769816701
4083.193863326923,2.23328586588714
4111.497211045225,2.143698011439245
4139.996748197306,2.225339897827019
4168.693834703357,2.265910477833298
4197.589839910078,2.2604630635082
4226.686142656034,2.229954523816311
4255.984131337433,2.228209669721495
4285.485203974398,2.284727279702299
4315.190768277655,2.294473043370382
4345.102241715719,2.139449126651967
4375.221051582523,2.190830117162811
4405.548635065536,2.275306990113605
4436.086439314327,2.208750826137249
4466.835921509635,2.24945332837242
4497.798548932882,2.214548660230852
4528.975799036211,2.151790463380046
4560.369159512964,2.226042268073035
4591.980128368689,2.172721336320234
4623.810213992606,2.194692644567019
4655.860935229593,2.201683793062597
4688.133821452655,2.153201628449687
4720.630412635909,2.27564237708226
4753.352259428056,2.188110021257971
4786.300923226388,2.242059153218514
4819.477976251276,2.164259195133512
4852.885001621215,2.243933115825324
4886.523593428336,2.238726554427671
4920.395356814509,2.198723260223563
4954.501908047903,2.195273047063283
4988.844874600121,2.148774465211865
5023.425895223872,2.243546424591246
5058.24662003114,2.159837290906581
5093.308710571954,2.216934772934413
5128.613839913648,2.282861086404291
5164.163692720711,2.185801218587328
5199.95996533516,2.236076599635513
5236.004365857504,2.18360921617538
5272.298614228227,2.171682783115493
5308.844442309884,2.170915265866533
5345.643593969717,2.159822883463561
5382.697825162884,2.14863881162442
5420.008904016238,2.226650211492155
5457.57861091271,2.147599393479984
5495.408738576246,2.179696620633711
5533.501092157368,2.165613724867914
5571.857489319298,2.134760029866485
5610.479760324706,2.164870913599232
5649.369748123026,2.150628815859832
5688.529308438417,2.166179966291121
