Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
297.8516429,0.023357855,-66.63336893,21.06348989
299.9162519,0.01952469,-71.11132024,8.59055568
301.995172,0.021707677,-70.00361316,-14.3840119
304.0885026,0.026226317,-67.73482178,-7.629489525
306.1963434,0.023808051,-71.16564379,39.42419842
308.318795,0.023237852,-73.65375351,12.37025139
310.4559588,0.023671844,-65.34060713,-7.306472715
312.6079367,0.022651393,-74.60114672,-15.89612688
314.7748314,0.020377957,-68.93226441,19.59099979
316.9567463,0.02346978,-73.09752627,7.55446146
319.1537855,0.021240342,-69.36776871,-10.57660791
321.3660539,0.01858135,-68.62364448,9.486460861
323.5936569,0.022202438,-70.74640994,-15.74914836
325.836701,0.02310346,-68.3709162,6.835754902
328.0952931,0.02437553,-67.32804314,22.57317465
330.369541,0.022046847,-68.41121614,1.225679952
332.6595533,0.022216502,-75.43564875,-7.018799467
334.9654392,0.021598335,-71.28845386,-27.73518476
337.2873087,0.01827238,-66.53203177,-13.43696195
339.6252726,0.021726271,-69.40978494,-19.3710814
341.9794425,0.020473492,-67.81415316,-29.24259577
344.3499308,0.019425437,-67.86507791,-37.2418517
346.7368505,0.021722233,-71.4893367,-33.16389255
349.1403155,0.02136832,-72.06705734,40.41712281
351.5604405,0.022095303,-69.65638183,1.739811844
353.9973411,0.023635757,-66.16209135,-32.00879613
356.4511334,0.023368393,-65.50272862,21.30917699
358.9219346,0.020429529,-71.71678815,10.65842921
361.4098626,0.023030056,-66.85841902,-22.14441532
363.9150361,0.022430671,-67.2438402,-20.18233316
366.4375746,0.024615496,-72.06296039,38.93695002
368.9775986,0.022748183,-69.06616503,-31.33582096
371.5352291,0.021384473,-72.86760531,-44.6854508
374.1105883,0.019806876,-70.06782347,-5.310947612
376.703799,0.02186538,-75.06000971,-7.436801938
379.314985,0.019568139,-70.56888708,10.07921282
381.9442708,0.022969106,-70.36406495,24.42307201
384.591782,0.024877961,-66.96582318,-5.519153478
387.2576449,0.020843158,-65.96079234,-24.35766915
389.9419867,0.020542391,-69.9186226,-24.46662309
392.6449354,0.020920989,-68.93512864,-10.66178456
395.3666201,0.022679755,-69.04259192,-35.7363892
398.1071706,0.024473975,-65.0243664,4.593987822
400.8667176,0.023157859,-71.79142911,47.17649858
403.645393,0.023239827,-71.14939451,-48.16141597
406.4433292,0.019132612,-73.25141715,35.10435186
409.2606597,0.021253111,-67.42218549,3.44699503
412.0975191,0.022655233,-68.98188168,-9.922885792
414.9540426,0.02416966,-70.18810647,6.057209328
417.8303666,0.02292741,-67.95804086,-31.00935667
420.7266284,0.025482084,-66.15311089,-0.085887643
423.642966,0.023330382,-66.95056968,-12.29200127
426.5795188,0.024325141,-69.70995467,-20.21416099
429.5364268,0.023705029,-71.50483187,-47.7879727
432.513831,0.019851382,-64.94209127,-13.564262
435.5118737,0.020725673,-65.13169499,-19.68951997
438.5306978,0.023541926,-67.70984685,-13.43107895
441.5704474,0.022915218,-68.25690145,-3.172464476
444.6312675,0.018469826,-66.97635056,-21.82985008
